Serial No.,Category,Poetry
1,Awesome Lines,Kisi ke haath bikne ko tayyar nahi
2,Awesome Lines,Ye mera dil hay koi misar ka bazaar nahi
3,Awesome Lines,Main tujhko mohabbat main sahoolat se rakhoonga
4,Awesome Lines,To mujh se mulaaqaat main waqfa na diya ker
5,Awesome Lines,Pehna ker loog libaas aitibaar-o-mohabbat ka
6,Awesome Lines,Phir gharz-o-munafqat se daagdaar kertay hain
7,Awesome Lines,Duaa kisi ko dilaati hay takht-o-taaj magar
8,Awesome Lines,Kisi ki aah bhi hukoomat cheen layti hay
9,Awesome Lines,Mansoob teri zaat se ranaiyaan tamam
10,Awesome Lines,Teray bina hayaat main koi dilkashi nahi
11,Awesome Lines,Gham-e-zindagi tujhay kiya kahon
12,Awesome Lines,Bus zindagi hi to muhaal hay
13,Awesome Lines,Jahan maut itni asaan thi
14,Awesome Lines,Wahin ji liya to kamal hay!
15,Awesome Lines,Teri aankhon ki kashish kaisay tujhay samajhaon
16,Awesome Lines,In charaghon ne meri neend urda rakhi hay!!!
17,Awesome Lines,"Dil tumhara hi hay, hamaisha hi tumhara hoga"
18,Awesome Lines,"Koon kehta hay, mujhay ishq doobara hoga!"
19,Awesome Lines,Reza reza kerkay bakhair daiti hay
20,Awesome Lines,Be parwah logon se be panah mohabbat
21,Awesome Lines,Baat ker laitay hain shayed koi hal mil jay
22,Awesome Lines,Aaj mushkil hay to kahna mujhay kul mil jay
23,Awesome Lines,Ain mumkin hay woh ik rooz mujhay kerlay qabool
24,Awesome Lines,Ain mumkin hay mujhay sabar ka phal mil jay!
25,4 Line Urdu Poetry,Bohat sooch ker soocha hay kinarah ker liya jay
26,4 Line Urdu Poetry,Faqaq teri yadoon per guzara ker liya jay
27,4 Line Urdu Poetry,Aik woh bhi waqt that jub ajnabi thay dono
28,4 Line Urdu Poetry,Wohi haal ab ke phir dobara ker liya jay
29,4 Line Urdu Poetry,Gham-e-zindagi tujhay kiya kahon
30,4 Line Urdu Poetry,Bus zindagi hi to muhaal hay
31,4 Line Urdu Poetry,Jahan maut itni asaan thi
32,4 Line Urdu Poetry,Wahin ji liya to kamal hay!
33,4 Line Urdu Poetry,Baat ker laitay hain shayed koi hal mil jay
34,4 Line Urdu Poetry,Aaj mushkil hay to kahna mujhay kul mil jay
35,4 Line Urdu Poetry,Ain mumkin hay woh ik rooz mujhay kerlay qabool
36,4 Line Urdu Poetry,Ain mumkin hay mujhay sabar ka phal mil jay!
37,4 Line Urdu Poetry,Dil ki hasrat zuban pe aanay lagi
38,4 Line Urdu Poetry,To nay daikha aur zindagi muskuranay lagi
39,4 Line Urdu Poetry,Ye ishq ki intiha thi ya dewangi meri
40,4 Line Urdu Poetry,Har soorat main teri soorat nazar anay lagi
41,4 Line Urdu Poetry,"Ye rang chehray ke, aur khuwaab apni aankhon ke"
42,4 Line Urdu Poetry,"Hawa chalay koi aisi, bikhar na jain kahin"
43,4 Line Urdu Poetry,Jhalak raha hay jin aankhon se ab wajood mera
44,4 Line Urdu Poetry,"Ye aankhain, haye ye aankhain, mukar na jain kahin!!!"
45,4 Line Urdu Poetry,"Ae tabeeb, yoon koshish na ker"
46,4 Line Urdu Poetry,Tujhay kiya khabar meray merz ki?
47,4 Line Urdu Poetry,Pehlay ishq ker…phir chaut kha….
48,4 Line Urdu Poetry,Phir likh dawa meray dard ki!!!
49,4 Line Urdu Poetry,Ik samundar hay jo meray qabo main hay
50,4 Line Urdu Poetry,Aur ik qatra hay jo mujhse sanbhala nahi jata
51,4 Line Urdu Poetry,Ik umar hay jo beetani hay uske baghair
52,4 Line Urdu Poetry,Aur ik lamha hay jo mujhse guzara nahi jata
53,4 Line Urdu Poetry,Tujh se ishq hogiya ab khasara kaisa
54,4 Line Urdu Poetry,Darya-e-ishq main jo utar gye ab kinara kaisa
55,4 Line Urdu Poetry,Ik bar jo teray hogye tu bus hogye
56,4 Line Urdu Poetry,Rooz kerna naya istakhara kaisa!!!
57,4 Line Urdu Poetry,Mujhay hi kiyon khiyaal ata hay ke
58,4 Line Urdu Poetry,Kisi ko bura na lag jay
59,4 Line Urdu Poetry,Kisi ko ye khiyaal kiyon nahi ata
60,4 Line Urdu Poetry,Ke mujhay bhi bura lag sakta hay
61,4 Line Urdu Poetry,Wehshat ne zindagi ki rawani ujaard di
62,4 Line Urdu Poetry,Ik waqia ne sari kahani ujaard di
63,4 Line Urdu Poetry,Kamsin badan pe boojh hay boordhay dimaag ka
64,4 Line Urdu Poetry,Sanjeedgi ne meri jawani ujaard di
65,Ishq Poetry,Tujh ko chahoon andaaz badal badal ke
66,Ishq Poetry,Meri zindagi ka akloota ishq ho tum
67,Ishq Poetry,Uske hasil honey ki qeemat tum kiya jano?
68,Ishq Poetry,Woh meri tahajjud main maangi gyee dua hay.
69,Ishq Poetry,Apni zaat ka sadqa dena perday ga mujhay
70,Ishq Poetry,Aaj kisi ne barday ghaur se daikha mujhay!
71,Ishq Poetry,Ye kaisay mumkin hay hal nikal jaey dil ki weraani ka
72,Ishq Poetry,Aakhir woh shakhs mera ishq hay aur ishq bhi ain jawani ka!
73,Ishq Poetry,Hum se be wafai ki hud poochtay ho
74,Ishq Poetry,Woh mujh se ishq seekhta raha kisi aur ke liye!!!
75,Ishq Poetry,Nahi hota kisi tabeeb se is merz ka ilaaj Wasi
76,Ishq Poetry,"Ishq la ilaaj hay, bus perhaiz kijye"
77,Ishq Poetry,"Ye aena kiya de ga tumhain, tumhari shakhsiyyat ki khabar"
78,Ishq Poetry,"Kabhi meri  aankhon se daikho, kitne lajawab ho tum"
79,Ishq Poetry,Ye jo pagal hotay hain yehi tu mukhlis hotay hain
80,Ishq Poetry,Kabhi daikha hay kisi samajhdar ko ishq kertay howay!
81,Ishq Poetry,"Manta hon tujhay ishq nahi mujh se,Lakin as weham se ab koon nikalay mujhko?"
82,Ishq Poetry,Mohabbat sabar ke siwa kuch nahiMain nay her ishq ko intizaar kertay daikha hay
83,Urdu Ghazal,Usay kehna…
84,Urdu Ghazal,Jahan hum ne bichartay
85,Urdu Ghazal,Waqt likha tha…
86,Urdu Ghazal,"Koi rut ho, koi"
87,Urdu Ghazal,Mausam…
88,Urdu Ghazal,Mohabbat mer nahi sakti…
89,Urdu Ghazal,Wahan per likh giya koi…
90,Urdu Ghazal,"Taluq khuwah kaisa ho, bilaakhir"
91,Urdu Ghazal,Toot jata hay!
92,Urdu Ghazal,Tabbiyat bhar hi jati
93,Urdu Ghazal,hay…
94,Urdu Ghazal,"Koi manay na manay, per"
95,Urdu Ghazal,Mohabbat mer hi jati hay!
96,Urdu Ghazal,Hud se be hud!
97,Urdu Ghazal,"Meri aik hud hay,"
98,Urdu Ghazal,Aur tum usme be hud ho
99,Urdu Ghazal,Main alif hoon
100,Urdu Ghazal,Aur tum uski med ho!
101,Urdu Ghazal,Daikho to kahin bhi nahi
102,Urdu Ghazal,Sochoon to kuch bhi nahi
103,Urdu Ghazal,Magar…
104,Urdu Ghazal,Jo keh doon!
105,Urdu Ghazal,To tum meray hone ki sanad ho.
106,Urdu Ghazal,Meri aik hud hay!
107,Urdu Ghazal,Aur tum usme be hud ho.
108,Urdu Ghazal,Kabhi laut aa meray charah ger
109,Urdu Ghazal,"Meray rahnuma, meray baakhabar"
110,Urdu Ghazal,Mera lafz lafz hay muztarab
111,Urdu Ghazal,Mera sher sher udaas hay
112,Urdu Ghazal,Meray kaafiyay ko kami teri
113,Urdu Ghazal,Hay radeef ko teri aarzo
114,Urdu Ghazal,Mujhay shaeri ki zubaan main
115,Urdu Ghazal,Teray saath kerni hay guftugu
116,Urdu Ghazal,"Meray chara gar, meray baakhabar"
117,Urdu Ghazal,Meri baat sun abhi laut
118,Urdu Ghazal,Woh shakhs mujhay piyara hay usay kehna
119,Urdu Ghazal,Meray jeenay ka sahara hay usay kehna
120,Urdu Ghazal,loog bohat se piyaray hain mujhko
121,Urdu Ghazal,magar woh sub se piyara hay usay kehna
122,Urdu Ghazal,"Mohabbatain, shikayetain, adawatain uski"
123,Urdu Ghazal,Mujhay sub gawara hay usay kehna
124,Urdu Ghazal,Chahne walay aur bhi hain lekin
125,Urdu Ghazal,Mujhay sirf intizaar tumhara hay usay kehna
126,Urdu Ghazal,Tujhse Moo Kis Tarah Modta..
127,Urdu Ghazal,Pyaar Tera Meri Aur Tha..
128,Urdu Ghazal,Gair Samjha Mujhe Umr Bhar..
129,Urdu Ghazal,Uska Bhi Ek Ajab Daur Tha..
130,Urdu Ghazal,Tujh Ko De Kar Ke Khushiya Sabhi..
131,Urdu Ghazal,Gham Ki Chadar Ko Me Audta..
132,Urdu Ghazal,Ho Na Jaye Kahi Be-Rukhi..
133,Urdu Ghazal,Kis Tarah Me Zuba Kholta..
134,Urdu Ghazal,Teri Yaade Hai Is Shahr Me..
135,Urdu Ghazal,Ye Shahr Kaise Me Chodta..
136,Urdu Ghazal,Dekha Sameer Ne Raat Bhar..
137,Urdu Ghazal,Wo Meri Basti Ka Chor Tha..
138,Urdu Ghazal,Submitted By: Shaikh Sameer
139,Urdu Ghazal,Koi Aisa Kamaal Ho Jaye..
140,Urdu Ghazal,Husn Ka Inteqaal Ho Jaye..
141,Urdu Ghazal,Is Tarah Se Na Dekh Tu Mujh Ko..
142,Urdu Ghazal,Mera Jeena Muhaal Ho Jaye..
143,Urdu Ghazal,Sochta Hu Me Jo Har Ek Lamha..
144,Urdu Ghazal,Kaash Tera Khyaal Ho Jaye..
145,Urdu Ghazal,Tere Aane Ki Khabar Sunte Hi..
146,Urdu Ghazal,Shahr-E-Dil Me Dhamaal Ho Jaye..
147,Urdu Ghazal,Dekh Kar Hasna Yun Diwaane Ko..
148,Urdu Ghazal,Shayad Tera Ye Haal Ho Jaye..
149,Urdu Ghazal,Dhundta Me Phiru Jise Sameer..
150,Urdu Ghazal,Koi To Ek Sawaal Ho Jaye..!!!
151,Urdu Ghazal,Submited By: Shaikh Sameer
152,Urdu Ghazal,Mujhay justujo-e-ishq hay
153,Urdu Ghazal,Teri qurbaton ka sawal hay
154,Urdu Ghazal,Main hoon ishq se na aashna
155,Urdu Ghazal,Meray dooston ka khiyal hay
156,Urdu Ghazal,Meri qalam hay gawah is per
157,Urdu Ghazal,Meri shaeri bhi daleel hay
158,Urdu Ghazal,Ye ajeeb khail hay ishq ka
159,Urdu Ghazal,Main ne aap daikha hay ye moajza
160,Urdu Ghazal,Woh jo lafz meray guman main thay
161,Urdu Ghazal,Woh teri zuban per a gye
162,Urdu Ghazal,Meri umar se na simat sakay
163,Urdu Ghazal,Meray dil main itne sawal thay
164,Urdu Ghazal,Teray paas jitnay jawab thay
165,Urdu Ghazal,Teri ik nigah main a gye
166,Urdu Ghazal,Galay lug ker koi roye
167,Urdu Ghazal,Nadamat ho to aisi ho
168,Urdu Ghazal,Yehi mehsoos ho jaisay
169,Urdu Ghazal,Kai sadiyaan guzri hain
170,Urdu Ghazal,Faqat ik pal ki furqat main
171,Urdu Ghazal,Aziyyat ho to aisi ho
172,Urdu Ghazal,Mujhay kaanta chubhe aur
173,Urdu Ghazal,Uski aankhon se laho tapke
174,Urdu Ghazal,Taluq ho to aisa ho
175,Urdu Ghazal,Mohabbat ho to aisi ho
176,Urdu Ghazal,Hijar ka taara doob chala hai dhalne lagi hai raat wasi
177,Urdu Ghazal,Qatra qatra baras rahi hai ashkon ki barsaat wasi
178,Urdu Ghazal,Tere bad ye duniya wale mujh ko pagal kar den gay
179,Urdu Ghazal,Khushbo k dais men mujh ko le chal apne sath wasi
180,Urdu Ghazal,Yun hi chup ki mohar laga kar kb tak ghum sum betho gay
181,Urdu Ghazal,Khamoshi se dam ghut_ta hai cherro koi bat wasi
182,Urdu Ghazal,Aj to us ka chehra bhi kuch badla badla lagta hai
183,Urdu Ghazal,"Mosam badla, duniya badli, badl gay haalat wasi"
184,Urdu Ghazal,Mere ghar khushiyon ka ye raqs usi k dam se hai
185,Urdu Ghazal,Us k sath chali jay gi pholoon ki baraat wasi
186,Urdu Ghazal,Chor wasi ab us ki yaden tujh ko pagal kar den gi
187,Urdu Ghazal,Tu qatra hai wo darya hai dekh apni auqaat wasi
188,Sad Poetry,Bana ker choord daitay hain apni zaat ka aadi
189,Sad Poetry,kuch laug yoon bhi intiqaam laitay hain
190,Sad Poetry,Mujh ko siyah rang se ulfat bala ki thi
191,Sad Poetry,Phir yon howa ke bakht main siyahi bikhar gye
192,Sad Poetry,Bohat be kaif lamhe hain ajeeb bojhal tabiyyat hay
193,Sad Poetry,Na gham se dil behalta hay na khushiyaan raas aati hain
194,Sad Poetry,Tu ne daikha hay mahaz mujhay khush bahar se
195,Sad Poetry,Meray andar ki cheekhain tera dil phaard sakti hain
196,Sad Poetry,Udaas to bohat rahay per kabhi zaahir nahi kiya
197,Sad Poetry,Theek hoon bas is lafz ne sub sanbhaal liya
198,Sad Poetry,Lazzat gham-e-ishq ka tum kiya jano
199,Sad Poetry,Main khush raha dil ko barbaad kerkay
200,Sad Poetry,Hum itne bhi nahi badlay ke bhool jain apnon ko
201,Sad Poetry,Magar jub koi muntazir hi na ho to raabte achay nahi lagtay
202,Sad Poetry,Is qadar boojh hay neendon ka meri aankhon per
203,Sad Poetry,Main ne thak haar ker sona nahi mer jana hay!
204,Sad Poetry,Mujhay choord ker woh jis shakhs ke paas gaya hay
205,Sad Poetry,Meri barabari ka hota to bhi dil ko sabar aa jata!
206,Sad Poetry,Woh itna qareeb ho giya tha
207,Sad Poetry,Mujhay laga mera ho giya tha!
208,Aankhen Shayari,Teri aankhon ki kashish kaisay tujhay samajhaon
209,Aankhen Shayari,In charaghon ne meri neend urda rakhi hay!!!
210,Aankhen Shayari,Teri maasoom nigaahon ke taqaddus ki qasam
211,Aankhen Shayari,Dil ne tu kiya rooh ne bhi tujh se mohabbat ki hay
212,Aankhen Shayari,Aa daikh meri aankh ke bheegay howe mausam
213,Aankhen Shayari,Ye kis ne keh diya ke tujhay bhool gyee hum!
214,Aankhen Shayari,Ye jo doobi hain meri aankhain ashkon ke darya main
215,Aankhen Shayari,Ye matti ke insaano per bharosay ki saza hay
216,Aankhen Shayari,Isi umeed pe aankhon main jhankta hon main
217,Aankhen Shayari,Kahin mil jay woh samundar jo mujhko lay doobay
218,Aankhen Shayari,Us ki dard bhari aankhoon ne jis jaga kaha tha alwida
219,Aankhen Shayari,Aaj bhi waheen khara hay dil uske aane ke intizar main
220,Aankhen Shayari,Tumhari ik nigah se qatal ho jatay hain loog
221,Aankhen Shayari,Ik nazar hum ko bhi daikho ke zindagi achi nahi lagti
222,Aankhen Shayari,Un ki aankhoon main nazar aata hay sara jahan mujhko
223,Aankhen Shayari,Afsoos ke un ki aankhon main kabhi khud ko nahi daikha
224,Aankhen Shayari,Kisi din bitha ke pochain gay teri ankhon se
225,Aankhen Shayari,Kis ne sikhaya hay inhain her dil main utar jana
226,Aankhen Shayari,Kiya kashish thi us ki aankhon main mut pocho
227,Aankhen Shayari,Mujh se mera dil lar para mujhay woh shakhs chahyeah
228,Dukh,Gir pardi hoon teri khatir main
229,Dukh,Zameen ki khaak ban ker yun
230,Dukh,Uthna na chahoon phir sey main
231,Dukh,Teray liyay girna muqaddas samjhoon
232,Dukh,Submitted by: Komal yousuf
233,Dukh,Ginti To Nahi Yaad Magar Yaad Hai Itna
234,Dukh,Sub Zakhm Baharon K Zamany Me Lage Hain…
235,Dukh,Koi To Aisa Ho Jis Ko Kahun Tu Mera Ban
236,Dukh,Koi To Aye K Dil Se Teri Kami Nikle…
237,Dukh,Kon Se Dukh Ki Karen Bat K Dil Ka Darya
238,Dukh,Itni Tughyani Ki Zad Par Hai K Kuch Yad Nahi…
239,Dukh,Afatain Mere Ta’aqub Me Hi Kiun Rehti Hain
240,Dukh,Me Kisi Ka Bhi Bura Chahne Wala To Nahi…
241,Dukh,Submitted By: Rashid Qayoum Ansar
242,Dukh,Milne Ata Hai Roz Gham Mujh Se
243,Dukh,Us Ne Dekha Hua Hai Ghar Mera…
244,Dukh,Submitted By: Rashid Qayoum Ansar
245,Dukh,Dekh Kin Marhalon Se Guzri Hai
246,Dukh,Zindagi Dagh Dagh Hone Tak…
247,Dukh,Submitted By: Rashid Qayoum Ansar
248,Dukh,Tumhare Bad Kya Rakhna Anaa Se Wasta Koi
249,Dukh,Tum Apne Sath Mera Umer Bhar Ka Maan Le Jana…
250,Dukh,Khaak Ko Chot Agar Khaak Se Lag Sakti Hai
251,Dukh,Mun Pe Darya K Bhi Ansu Koi Mara Jaye…
252,Dukh,Yoon Tera Paas Se Guzar Jana
253,Dukh,Umer Ki Be-Rukhi Ka Hasil Hai…
254,Mohabbat,Uski aankhon main rakhi theen barkatain rub ne!
255,Mohabbat,Us haseen shakhs se wajib tha mohabbat kerna!
256,Mohabbat,Itna bhi kiya kisi ki mohabbat main gharaq hona
257,Mohabbat,Bus theek hay koi tha! magar ab nahi raha
258,Mohabbat,Iski khuwahish hay ke main perday main rahoon
259,Mohabbat,Woh aik shakhs jo meri haya pe marta hay
260,Mohabbat,Poochtay hain loog mujh se mera kiya lagta hay woh
261,Mohabbat,Koi neki thi meri jiska sila lagta hay woh!!!
262,Mohabbat,Mohabbat aik khushbu hay jo hamaisha saath chalti hay
263,Mohabbat,Koi insaan tanhai main bhi tanha nahi rehta
264,Mohabbat,Teri maasoom nigaahon ke taqaddus ki qasam
265,Mohabbat,Dil ne tu kiya rooh ne bhi tujh se mohabbat ki hay
266,Mohabbat,Woh mujhay pukaarta hay alag alag namon se
267,Mohabbat,magar jub JAAN kehta hay walAllah  jaan le leta hay!
268,Mohabbat,Koi sikhae mohabbat ke tareeqay usko
269,Mohabbat,Khat ke ghusse main kabootar nahi maray jatay
270,Mohabbat,Khamoosh baithay hain to loog kehtay hain udasi achi nahi
271,Mohabbat,Zara sa huns lain to loog muskurane ki waja pooch laytay hain
272,Mohabbat,"Phir kisi yaad ne, raat bhar hai jagaya mujh ko"
273,Mohabbat,"Kiya saza di hai, mohabat ne khudaya mujh ko"
274,Mohabbat,"Din ko aaram hai na, raat ko hai chain kabhi"
275,Mohabbat,"Jane kis khaak se, qudrat ne banaya mujh ko"
276,Mohabbat,"Dukh to yeh hai ke, zamane main milay ghair sabhi"
277,Mohabbat,"Jo mila hai, woh mila ban ke, paraya mujh ko"
278,Mohabbat,"Jab koi bhi na raha kandha, mere rone ko"
279,Mohabbat,"Ghar ki deewaron ne, seene se lagaya mujh ko"
280,Mohabbat,"Uoon to umeed-e-wafa, tum se nahi hai koi"
281,Mohabbat,"Phir charaghon ki tarah, kis ne jalaya mujh ko"
282,Barbad Shayari,Meri tabahiyon main tera haath hay
283,Barbad Shayari,Lakin hum sub se keh rahay hain muqaddar ki baat hay!
284,Barbad Shayari,Kub ka chor diya hum ne logon per yaqeen kerna
285,Barbad Shayari,Mohabbat se jo bhi mila berbaad ker giya
286,Barbad Shayari,Meri nakamiyon per tum zara tashweesh mut kerna
287,Barbad Shayari,"Jisay kuch bhi nahi ata, mohabbat us ko ati hay"
288,Barbad Shayari,Bara ajeeb qissa hay ke meray dil ne
289,Barbad Shayari,Apne mufaad ki khatir mujhay berbad ker dala
290,Barbad Shayari,Main bhi kitna ajeeb hoon itna ajeeb hoon ke bus
291,Barbad Shayari,Khud ko tabah kerliya aur malaal bhi nahi
292,Barbad Shayari,Tujh ko khabar nahi magar aik baat sunlo
293,Barbad Shayari,Barbaad ker diya tere do din ke ishq ne mujhay
294,Barbad Shayari,Dil main rah ker dil dukahte ho
